GCA_009764355.1	Lactobacillus paralimentarius
GCA_001311235.1	Lactococcus fujiensis
GCA_901472455.1	Leclercia adecarboxylata
GCA_900637865.1	Legionella adelaidensis
GCA_000170755.1	Lentisphaera araneosa
GCA_001306095.1	Leptolinea tardivitalis
GCA_001050275.1	Leptolinea tardivitalis
GCA_002811975.1	Leptospira macculloughii
GCA_000262525.1	Leptothrix ochracea
GCA_000166735.2	Leuconostoc inhae
GCA_001306035.1	Levilinea saccharolytica
GCA_001050255.2	Levilinea saccharolytica
GCA_008254045.1	Limnoglobus roseus
GCA_006569185.1	Litorilinea aerophila
GCA_001050235.2	Longilinea arvoryzae
GCA_013000925.1	Longimicrobium terrae
GCA_004005565.1	Lujinxingia sediminis
GCA_001618865.1	Luteitalea pratensis
GCA_001278945.1	Lysinibacillus contaminans
GCA_001312325.1	Lysinibacillus pakistanensis
GCA_002119805.1	Macrococcus canis
GCA_003056725.1	Mangrovicoccus ximenensis
GCA_003576475.1	Maribellus luteus
GCA_004936695.1	Marinobacter salsuginis
GCA_001456025.1	Mastigocoleus testarum
GCA_003030445.1	Megasphaera stantonii
GCA_002305855.1	Melittangium boletus
GCA_003024615.1	Mesorhizobium loti
GCA_002077135.1	Metallibacterium scheffleri
GCA_900241015.1	Metaprevotella massiliensis
GCA_001723295.1	Methyloceanibacter marginalis
GCA_001312345.1	Methylogaea oryzae
GCA_000956535.1	Microbacterium ginsengisoli
GCA_001931535.1	Minicystis rosea
GCA_900450555.1	Mobiluncus curtisii
GCA_003584105.1	Muricauda taeanensis
GCA_003667575.1	Mycetocola lacteus
GCA_003966915.1	Mycoavidus cysteinexigens
GCA_900078675.2	Mycobacterium interjectum
GCA_002967005.1	Mycobacterium talmoniae
GCA_900157385.1	Mycobacterium terramassiliense
GCA_000270665.1	Mycobacteroides abscessus
GCA_001475495.2	Mycolicibacterium fortuitum
GCA_900631685.1	Mycoplasma caviae
GCA_900660555.1	Mycoplasma conjunctivae
GCA_900660545.1	Mycoplasma cynos
GCA_000200735.1	Mycoplasma haemofelis
GCA_900660435.1	Mycoplasma orale
GCA_000508245.1	Mycoplasma ovis
GCA_900660445.1	Mycoplasma salivarium
GCA_000179035.2	Mycoplasma suis
GCA_000277795.1	Mycoplasma wenyonii
GCA_009467795.1	Nesterenkonia halophila
GCA_000711955.1	Nevskia soli
GCA_000143085.1	Nitrosococcus watsonii
GCA_001273775.1	Nitrospira moscoviensis
GCA_001612745.1	Nocardia amamiensis
GCA_001482675.1	Nocardia jinanensis
GCA_007990755.1	Nocardia ninae
GCA_013186535.1	Nocardia terpenica
GCA_001598555.1	Novosphingobium rosa
GCA_000309075.1	Occidentia massiliensis
GCA_012103185.1	Ochrobactrum anthropi
GCA_012103155.1	Ochrobactrum ciceri
GCA_012103095.1	Ochrobactrum daejeonense
GCA_012103085.1	Ochrobactrum grignonense
GCA_012103055.1	Ochrobactrum intermedium
GCA_012103035.1	Ochrobactrum oryzae
GCA_012395205.1	Ochrobactrum pseudogrignonense
GCA_012395245.1	Ochrobactrum tritici
GCA_001306115.1	Ornatilinea apprima
GCA_003352835.1	Ornithinimicrobium murale
GCA_001313365.1	Paenarthrobacter nitroguajacolicus
GCA_008635805.1	Paenibacillus azotifigens
GCA_000598065.1	Paenibacillus darwinianus
GCA_006345825.1	Paenibacillus paridis
GCA_000444075.1	Paeniclostridium sordellii
GCA_003002115.1	Paraburkholderia insulsa
GCA_001006285.1	Paraclostridium benzoelyticum
GCA_003285265.1	Paracoccus mutanolyticus
GCA_003426055.1	Paraliobacillus sediminis
GCA_900454865.1	Pasteurella canis
GCA_001746855.1	Pauljensenia hongkongensis
GCA_003966975.1	Pelolinea submarina
GCA_003385075.1	Pelolinea submarina
GCA_900101835.1	Peptococcus niger
GCA_002924615.1	Petrotoga halophila
GCA_900104615.1	Phocea massiliensis
GCA_000695255.1	Photobacterium galatheae
GCA_900104525.1	Phycicoccus dokdonensis
GCA_007994965.1	Piscinibacter aquaticus
GCA_001856085.1	Planococcus salinarum
GCA_002943715.1	Polaribacter filamentus
GCA_000515355.1	Promicromonospora kroppenstedtii
GCA_000701905.1	Proteiniclasticum ruminis
GCA_009733845.1	Pseudactinotalea terrae
GCA_000745845.1	Pseudobacteroides cellulosolvens
GCA_001262605.1	Pseudobacteroides cellulosolvens
GCA_000474765.1	Pseudomonas aestus
GCA_001983205.1	Pseudomonas azotoformans
GCA_000495915.1	Pseudomonas chloritidismutans
GCA_001870435.1	Pseudomonas costantinii
GCA_008801495.1	Pseudomonas palleroniana
GCA_008641105.1	Pseudomonas salina
GCA_004359495.1	Pseudomonas stutzeri
GCA_900706865.1	Raoultella planticola
GCA_009797605.1	Rhodobacter sphaeroides
GCA_001313445.1	Rhodococcus qingshengii
GCA_000696365.1	Rickettsia buchneri
GCA_900452535.1	Rothia kristinae
GCA_000442315.1	Rubellimicrobium thermophilum
GCA_000383775.1	Saccharomonospora halophila
GCA_000383795.1	Saccharomonospora saliphila
GCA_900106995.1	Saccharopolyspora shandongensis
GCA_003054775.1	Saccharospirillum mangrovi
GCA_009769385.1	Saccharothrix deserti
GCA_000716755.1	Saccharothrix syringae
GCA_003006155.1	Salinicola tamaricis
GCA_900635485.1	Salmonella bongori
GCA_008085455.1	Seonamhaeicola marinus
GCA_901482655.1	Serratia fonticola
GCA_900457095.1	Shigella boydii
GCA_009208775.1	Silvanigrella paludirubra
GCA_000255675.1	Singulisphaera acidiphila
GCA_000242455.3	Singulisphaera acidiphila
GCA_000421925.1	Sphingobium chinhatense
GCA_000633575.2	Sphingobium lucknowense
GCA_900101845.1	Sporomusa acidovorans
GCA_002257695.1	Sporomusa acidovorans
GCA_000445445.1	Sporomusa ovata
GCA_000423685.1	Sporomusa ovata
GCA_900458615.1	Staphylococcus gallinarum
GCA_004138335.1	Steroidobacter agariperforans
GCA_003104955.1	Steroidobacter cummioxidans
GCA_001586935.1	Sterolibacterium denitrificans
GCA_001612575.1	Streptobacillus notomytis
GCA_000720835.1	Streptomyces achromogenes
GCA_000415505.1	Streptomyces afghaniensis
GCA_002727115.1	Streptomyces cinnamoneus
GCA_000718175.1	Streptomyces exfoliatus
GCA_002954775.1	Streptomyces geranii
GCA_011170145.1	Streptomyces gougerotii
GCA_000173615.1	Sulfurihydrogenibium yellowstonense
GCA_000014965.1	Syntrophobacter fumaroxidans
GCA_000983115.1	Syntrophomonas zehnderi
GCA_000512235.1	Syntrophorhabdus aromaticivorans
GCA_012037625.1	Tamlana crocina
GCA_001890385.1	Tardibacter chloracetimidivorans
GCA_001561915.1	Tepidibacillus decaturensis
GCA_004342885.1	Tepidibacillus fermentans
GCA_000265425.1	Terriglobus roseus
GCA_001306145.1	Thermanaerothrix daxensis
GCA_001312085.1	Thermodesulfovibrio aggregans
GCA_005402645.1	Thermosporothrix hazakensis
GCA_003253565.1	Thermosporothrix hazakensis
GCA_001311545.1	Thermus kawarayensis
GCA_003052295.1	Trichococcus paludicola
GCA_000007485.1	Tropheryma whipplei
GCA_002243515.1	Tumebacillus algifaecis
GCA_002162355.1	Tumebacillus avium
GCA_000714935.1	Tumebacillus flagellatus
GCA_003148565.1	Tumebacillus permanentifrigoris
GCA_002964605.1	Vallitalea okinawensis
GCA_003965815.1	Variovorax gossypii
GCA_000152485.1	Vibrio antiquarius
GCA_013155105.1	Vibrio cholerae
GCA_900163915.1	Vibrio gazogenes
GCA_003937805.1	Vibrio pectenicida
GCA_003970425.1	Vibrio penaeicida
GCA_000299635.1	Vibrio vulnificus
GCA_007644035.2	Vogesella mureinivorans
GCA_007844155.2	Vogesella perlucida
GCA_001730235.1	Vulcanibacillus modesticaldus
GCA_000277645.1	Weissella koreensis
GCA_900460455.1	Weissella viridescens
GCA_000192065.2	Xanthomonas gardneri
GCA_001010415.1	Xanthomonas pisi
GCA_001908105.1	Xenorhabdus eapokensis
GCA_002632445.1	Xenorhabdus ehlersii
GCA_002632725.1	Xenorhabdus hominickii
GCA_002632875.1	Xenorhabdus kozodoii
GCA_002632615.1	Xenorhabdus miraniensis
GCA_013177435.1	Xylella taiwanensis
GCA_000576405.1	Xylella taiwanensis
GCA_001047675.1	Yersinia aleksiciae
GCA_000173715.1	Yersinia kristensenii
GCA_000495435.3	Youngiibacter fragilis
GCA_003290265.1	Zoogloea oryzae
